GC%	Total	Normalized Fraction(PDF)
0.000	72271.0	0.003682
0.007	107447.0	0.005474
0.013	62211.0	0.003169
0.020	71537.0	0.003644
0.027	84603.0	0.004310
0.033	84296.0	0.004294
0.040	86535.0	0.004408
0.047	89453.0	0.004557
0.053	92542.0	0.004714
0.060	97792.0	0.004982
0.067	99251.0	0.005056
0.073	105673.0	0.005383
0.080	107397.0	0.005471
0.087	114252.0	0.005820
0.093	124817.0	0.006359
0.100	131460.0	0.006697
0.107	143434.0	0.007307
0.113	160743.0	0.008189
0.120	177326.0	0.009033
0.127	203334.0	0.010358
0.133	238403.0	0.012145
0.140	292051.0	0.014878
0.147	368158.0	0.018755
0.153	475996.0	0.024248
0.160	628414.0	0.032013
0.167	844836.0	0.043038
0.173	1154623.0	0.058820
0.180	1590903.0	0.081045
0.187	2191853.0	0.111659
0.193	3010900.0	0.153383
0.200	4061924.0	0.206925
0.207	5429282.0	0.276582
0.213	7149313.0	0.364205
0.220	9250443.0	0.471242
0.227	11781726.0	0.600192
0.233	14717113.0	0.749728
0.240	18073122.0	0.920692
0.247	21775933.0	1.109323
0.253	25815269.0	1.315097
0.260	30125477.0	1.534671
0.267	34623391.0	1.763806
0.273	39145479.0	1.994173
0.280	43712783.0	2.226843
0.287	48134786.0	2.452112
0.293	52420804.0	2.670453
0.300	56495381.0	2.878022
0.307	60342608.0	3.074010
0.313	63976562.0	3.259133
0.320	67282801.0	3.427562
0.327	70291998.0	3.580858
0.333	73164974.0	3.727215
0.340	75900308.0	3.866560
0.347	78444390.0	3.996162
0.353	80741644.0	4.113190
0.360	82690303.0	4.212460
0.367	83963353.0	4.277313
0.373	84374589.0	4.298262
0.380	83773888.0	4.267661
0.387	82478827.0	4.201687
0.393	80297395.0	4.090559
0.400	77480226.0	3.947045
0.407	74281978.0	3.784118
0.413	70894810.0	3.611567
0.420	67380719.0	3.432550
0.427	64002792.0	3.260470
0.433	61136096.0	3.114433
0.440	58771967.0	2.993998
0.447	56805640.0	2.893828
0.453	55090670.0	2.806463
0.460	53643812.0	2.732756
0.467	52419460.0	2.670384
0.473	51496047.0	2.623343
0.480	50783102.0	2.587024
0.487	50230831.0	2.558890
0.493	49685223.0	2.531095
0.500	48884771.0	2.490318
0.507	47644203.0	2.427120
0.513	45765481.0	2.331413
0.520	43153138.0	2.198334
0.527	39907246.0	2.032979
0.533	36238436.0	1.846081
0.540	32454384.0	1.653311
0.547	28755722.0	1.464892
0.553	25356910.0	1.291747
0.560	22313415.0	1.136704
0.567	19649832.0	1.001014
0.573	17333336.0	0.883005
0.580	15294457.0	0.779140
0.587	13572932.0	0.691441
0.593	12115570.0	0.617199
0.600	10872285.0	0.553863
0.607	9782811.0	0.498362
0.613	8817665.0	0.449195
0.620	7956500.0	0.405325
0.627	7170630.0	0.365291
0.633	6428633.0	0.327491
0.640	5734099.0	0.292110
0.647	5099156.0	0.259764
0.653	4511584.0	0.229832
0.660	3965169.0	0.201996
0.667	3464830.0	0.176507
0.673	3019575.0	0.153825
0.680	2616099.0	0.133271
0.687	2266472.0	0.115460
0.693	1970705.0	0.100393
0.700	1716572.0	0.087447
0.707	1495677.0	0.076194
0.713	1311232.0	0.066798
0.720	1149055.0	0.058536
0.727	1009418.0	0.051422
0.733	896469.0	0.045668
0.740	798210.0	0.040663
0.747	718778.0	0.036616
0.753	652923.0	0.033262
0.760	595411.0	0.030332
0.767	553594.0	0.028202
0.773	517352.0	0.026355
0.780	481691.0	0.024539
0.787	448161.0	0.022830
0.793	417655.0	0.021276
0.800	378786.0	0.019296
0.807	329709.0	0.016796
0.813	278352.0	0.014180
0.820	232345.0	0.011836
0.827	190815.0	0.009721
0.833	155963.0	0.007945
0.840	123203.0	0.006276
0.847	96996.0	0.004941
0.853	73178.0	0.003728
0.860	54656.0	0.002784
0.867	41689.0	0.002124
0.873	29418.0	0.001499
0.880	21803.0	0.001111
0.887	15255.0	0.000777
0.893	11648.0	0.000593
0.900	8068.0	0.000411
0.907	5569.0	0.000284
0.913	3882.0	0.000198
0.920	2476.0	0.000126
0.927	1613.0	0.000082
0.933	1097.0	0.000056
0.940	719.0	0.000037
0.947	432.0	0.000022
0.953	211.0	0.000011
0.960	275.0	0.000014
0.967	318.0	0.000016
0.973	220.0	0.000011
0.980	89.0	0.000005
0.987	60.0	0.000003
0.993	55.0	0.000003
1.000	726.0	0.000037
