Tag Length (Average tag length = 31.248499)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000000
4	0.000000
5	0.000000
6	0.000000
7	0.000003
8	0.000002
9	0.000005
10	0.000024
11	0.000025
12	0.000022
13	0.000028
14	0.000027
15	0.000027
16	0.000031
17	0.000043
18	0.000031
19	0.000031
20	0.032796
21	0.042023
22	0.061791
23	0.066496
24	0.051168
25	0.046859
26	0.046250
27	0.045783
28	0.049767
29	0.062348
30	0.061907
31	0.052281
32	0.043919
33	0.036356
34	0.031580
35	0.027241
36	0.022283
37	0.019671
38	0.018664
39	0.017619
40	0.014965
41	0.013294
42	0.015943
43	0.014725
44	0.009678
45	0.009418
46	0.009199
47	0.009822
48	0.008203
49	0.006789
50	0.005971
51	0.006240
52	0.005439
53	0.004525
54	0.003651
55	0.004361
56	0.002753
57	0.002290
58	0.001595
59	0.001576
60	0.001871
61	0.003210
62	0.004712
63	0.000678
64	0.000335
65	0.000331
66	0.000311
67	0.000241
68	0.000162
69	0.000060
70	0.000011
71	0.000039
72	0.000004
73	0.000003
74	0.000003
75	0.000005
76	0.000003
77	0.000002
78	0.000025
79	0.000002
80	0.000002
81	0.000002
82	0.000004
83	0.000034
84	0.000020
85	0.000003
86	0.000007
87	0.000073
88	0.000000
89	0.000001
90	0.000001
91	0.000000
92	0.000001
93	0.000000
94	0.000001
95	0.000252
96	0.000001
97	0.000000
98	0.000000
99	0.000000
100	0.000000
101	0.000051
