GC%	Total	Normalized Fraction(PDF)
0.000	0.0	0.000000
0.007	0.0	0.000000
0.013	0.0	0.000000
0.020	0.0	0.000000
0.027	0.0	0.000000
0.033	0.0	0.000000
0.040	0.0	0.000000
0.047	0.0	0.000000
0.053	0.0	0.000000
0.060	0.0	0.000000
0.067	0.0	0.000000
0.073	0.0	0.000000
0.080	0.0	0.000000
0.087	0.0	0.000000
0.093	0.0	0.000000
0.100	0.0	0.000000
0.107	1.0	0.000011
0.113	0.0	0.000000
0.120	0.0	0.000000
0.127	6.0	0.000067
0.133	0.0	0.000000
0.140	4.0	0.000045
0.147	0.0	0.000000
0.153	1.0	0.000011
0.160	5.0	0.000056
0.167	5.0	0.000056
0.173	12.0	0.000135
0.180	12.0	0.000135
0.187	187.0	0.002101
0.193	32.0	0.000359
0.200	72.0	0.000809
0.207	82.0	0.000921
0.213	84.0	0.000944
0.220	206.0	0.002314
0.227	238.0	0.002674
0.233	312.0	0.003505
0.240	396.0	0.004449
0.247	886.0	0.009953
0.253	1155.0	0.012975
0.260	1865.0	0.020951
0.267	2252.0	0.025298
0.273	7640.0	0.085826
0.280	4586.0	0.051518
0.287	8076.0	0.090724
0.293	6209.0	0.069751
0.300	10578.0	0.118831
0.307	11843.0	0.133042
0.313	16113.0	0.181010
0.320	16518.0	0.185560
0.327	20371.0	0.228843
0.333	37535.0	0.421660
0.340	43360.0	0.487097
0.347	58621.0	0.658536
0.353	221221.0	2.485149
0.360	143603.0	1.613205
0.367	66525.0	0.747328
0.373	78173.0	0.878179
0.380	82325.0	0.924821
0.387	542470.0	6.093991
0.393	91504.0	1.027936
0.400	110100.0	1.236840
0.407	112004.0	1.258229
0.413	227471.0	2.555360
0.420	222188.0	2.496012
0.427	142332.0	1.598927
0.433	109255.0	1.227347
0.440	126373.0	1.419647
0.447	139473.0	1.566810
0.453	156750.0	1.760896
0.460	152112.0	1.708793
0.467	140198.0	1.574954
0.473	157394.0	1.768130
0.480	193342.0	2.171962
0.487	213834.0	2.402165
0.493	305628.0	3.433359
0.500	176013.0	1.977292
0.507	184993.0	2.078172
0.513	235795.0	2.648870
0.520	208430.0	2.341458
0.527	256562.0	2.882162
0.533	289548.0	3.252720
0.540	220429.0	2.476252
0.547	228630.0	2.568380
0.553	242296.0	2.721901
0.560	244331.0	2.744762
0.567	266804.0	2.997219
0.573	252221.0	2.833396
0.580	268009.0	3.010755
0.587	262550.0	2.949430
0.593	288152.0	3.237038
0.600	275821.0	3.098514
0.607	265659.0	2.984356
0.613	272762.0	3.064150
0.620	249723.0	2.805334
0.627	276590.0	3.107153
0.633	244805.0	2.750087
0.640	245790.0	2.761152
0.647	291270.0	3.272065
0.653	274004.0	3.078102
0.660	244454.0	2.746144
0.667	223494.0	2.510684
0.673	230370.0	2.587927
0.680	203265.0	2.283435
0.687	221217.0	2.485104
0.693	208370.0	2.340784
0.700	200636.0	2.253902
0.707	173383.0	1.947747
0.713	179354.0	2.014824
0.720	166555.0	1.871043
0.727	146845.0	1.649625
0.733	137664.0	1.546488
0.740	129865.0	1.458875
0.747	118813.0	1.334720
0.753	104610.0	1.175166
0.760	98143.0	1.102517
0.767	98448.0	1.105944
0.773	73342.0	0.823908
0.780	68762.0	0.772458
0.787	51445.0	0.577922
0.793	54946.0	0.617252
0.800	47246.0	0.530751
0.807	47173.0	0.529931
0.813	29285.0	0.328981
0.820	19534.0	0.219441
0.827	22583.0	0.253693
0.833	13290.0	0.149297
0.840	10779.0	0.121089
0.847	7567.0	0.085006
0.853	6149.0	0.069077
0.860	4259.0	0.047845
0.867	1792.0	0.020131
0.873	1301.0	0.014615
0.880	985.0	0.011065
0.887	1037.0	0.011649
0.893	414.0	0.004651
0.900	324.0	0.003640
0.907	64.0	0.000719
0.913	38.0	0.000427
0.920	36.0	0.000404
0.927	6.0	0.000067
0.933	0.0	0.000000
0.940	3.0	0.000034
0.947	4.0	0.000045
0.953	4.0	0.000045
0.960	0.0	0.000000
0.967	0.0	0.000000
0.973	0.0	0.000000
0.980	0.0	0.000000
0.987	0.0	0.000000
0.993	0.0	0.000000
1.000	0.0	0.000000
